Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,name,land area,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,LOWER EASTERN SHORE,90,DORCHESTER,dorchester,540.77,19,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,170,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,LOWER EASTERN SHORE,90,DORCHESTER,dorchester,540.77,19,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,10,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,LOWER EASTERN SHORE,90,SOMERSET,somerset,319.72,39,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,70,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,LOWER EASTERN SHORE,90,SOMERSET,somerset,319.72,39,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,20,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,LOWER EASTERN SHORE,90,WICOMICO,wicomico,374.44,45,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,751,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,LOWER EASTERN SHORE,90,WICOMICO,wicomico,374.44,45,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,30,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,LOWER EASTERN SHORE,90,WORCESTER,worcester,468.28,47,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,337,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,LOWER EASTERN SHORE,90,WORCESTER,worcester,468.28,47,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,15,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,BALTIMORE,baltimore,598.3,5,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,2516,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,BALTIMORE,baltimore,598.3,5,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,182,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,CARROLL,carroll,447.59,13,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,2524,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,CARROLL,carroll,447.59,13,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,327,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,FREDERICK,frederick,660.22,21,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,3306,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,FREDERICK,frederick,660.22,21,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,209,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,HARFORD,harford,437.09,25,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,1999,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,HARFORD,harford,437.09,25,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,124,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,HOWARD,howard,250.74,27,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,1356,43.3
