Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,END OF DEC,,STATE,ALABAMA,1,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"49,722",12.5
CENSUS,2017,END OF DEC,,STATE,ALABAMA,1,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"11,059",16.6
CENSUS,2017,END OF DEC,,STATE,ALASKA,2,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"1,458",1.4
CENSUS,2017,END OF DEC,,STATE,ALASKA,2,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,42,(L)
CENSUS,2017,END OF DEC,,STATE,ARIZONA,4,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"78,133",19
CENSUS,2017,END OF DEC,,STATE,ARIZONA,4,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"2,761",27.5
CENSUS,2017,END OF DEC,,STATE,ARKANSAS,5,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"45,318",11.4
CENSUS,2017,END OF DEC,,STATE,ARKANSAS,5,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"7,680",12.8
CENSUS,2017,END OF DEC,,STATE,CALIFORNIA,6,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"99,621",5.8
CENSUS,2017,END OF DEC,,STATE,CALIFORNIA,6,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"5,832",12.4
CENSUS,2017,END OF DEC,,STATE,COLORADO,8,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"97,562",13.4
CENSUS,2017,END OF DEC,,STATE,COLORADO,8,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"5,944",12.5
CENSUS,2017,END OF DEC,,STATE,CONNECTICUT,9,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"11,392",20.5
CENSUS,2017,END OF DEC,,STATE,CONNECTICUT,9,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,900,24.4
CENSUS,2017,END OF DEC,,STATE,DELAWARE,10,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"4,178",16
CENSUS,2017,END OF DEC,,STATE,DELAWARE,10,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,93,26.9
CENSUS,2017,END OF DEC,,STATE,FLORIDA,12,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"90,638",11.8
CENSUS,2017,END OF DEC,,STATE,FLORIDA,12,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"10,476",8.2
CENSUS,2017,END OF DEC,,STATE,GEORGIA,13,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"51,569",10.5
CENSUS,2017,END OF DEC,,STATE,GEORGIA,13,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"10,216",20.7
CENSUS,2017,END OF DEC,,STATE,HAWAII,15,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"4,548",14.5
CENSUS,2017,END OF DEC,,STATE,HAWAII,15,,,,,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,345,27.6
CENSUS,2017,END OF DEC,,STATE,IDAHO,16,,,,,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"48,469",8.7
